ID,name,director,actor,released_date,tags,area
26961684,玛格丽特的春天,['王宁'],"['艾伦', '王自健', '田亮', '胡杏儿', '赵文琪', '石安妮', '徐冬冬', '张芝华', '朱咪咪', '李勤勤', '刘亚津', '英壮', '张丹峰', '闫龙飞', '徐少强', '那威', '何沄伟', '贾妮', '涂世旻']",2017,"['喜剧', '爱情']",['中国大陆']
26425075,夜色撩人,['夏钢'],"['王千源', '余男', '南宫珉', '潘斌龙', '陈志雄']",2017,"['剧情', '悬疑', '犯罪']",['中国大陆']
26818346,诡眼,['欧阳奋强'],"['施展', '文梦洋', '兰岚', '廖越', '钟馨研', '乌云娜', '杨向东']",2017,"['惊悚', '恐怖']",['中国大陆']
26606743,嫌疑人X的献身,['苏有朋'],"['王凯', '张鲁一', '林心如', '叶祖新', '丁冠森', '邓恩熙', '成泰燊', '赵阳', '侯明昊', '焉栩嘉', '任熙青', '李炳易', '赵燕国彰', '管轩', '赵志宏', '董子良']",2017,"['剧情', '悬疑', '犯罪']",['中国大陆']
26616690,非凡任务,"['麦兆辉', '潘耀明']","['黄轩', '段奕宏', '郎月婷', '祖峰', '邢佳栋', '王耀庆', '王砚辉', '丁勇岱', '肖聪', '李晓川', '赵炳锐', '代乐乐', '陶海', '伍国宝', '郭紫铭']",2017,"['剧情', '动作', '犯罪']",['中国大陆']
26602933,绑架者,"['徐静蕾', '杨翌舒']","['白百何', '黄立行', '明道', '李淳', '李玖哲', '徐静蕾', '梁天', '孙阳']",2017,"['动作', '犯罪']","['中国大陆', '中国台湾', '中国香港']"
26828019,有完没完,['王啸坤'],"['范伟', '贾静雯', '刘俊昊', '隋凯', '宋阳', '范湉湉', '林更新', '薛之谦', '赵英俊', '孔连顺', '刘长生', '于笑', '李俊豪', '柴蔚', '张美娥', '徐小溢', '陈维涵', '史耀中', '肥龙', '马洪磊', '宋祖儿', '李俊濠', '刘育同', '冯小阳', '郑紫禅', '吴侨宾']",2017,"['剧情', '喜剧']",['中国大陆']
26704590,一念无明,['黄进'],"['曾志伟', '余文乐', '方皓玟', '金燕玲', '陈学文', '麦子乐', '吴肇轩', '税瀞熙', '陈彼得', '朱跃希', '陈凤珍', '曾洁卿', '何国男']",2016,"['剧情', '家庭']",['中国香港']
26352435,指甲刀人魔,['关智耀'],"['周冬雨', '张孝全', '纳豆', '林辰唏', '蔡洁', '盛朗熙', '郑伊健', '谢依霖', '许玮甯']",2017,"['喜剧', '爱情']","['中国大陆', '中国香港']"
26644002,傲娇与偏见,"['李海蜀', '黄彦威']","['迪丽热巴', '张云龙', '高伟光', '金晨', '马薇薇', '范湉湉', '吴翊歌', '周海媚', '樊野', '李彧', '柳文欢']",2017,"['喜剧', '爱情']",['中国大陆']
26639958,春娇救志明,['彭浩翔'],"['余文乐', '杨千嬅', '蒋梦婕', '曾国祥', '秦沛', '邵音音', '王晓晨', '司徒慧焯', '谷德昭', '谷祖琳', '陈逸宁', '闫汶渲', '林兆霞', '李程彬', '欧铠淳', '林海峰', '森美', '吴岱融', '陈意岚', '邹凯光', '周俊伟', '陈静', '麦芷谊', '郭奕芯', '李拾壹', '关逸基', '廖子妤', '袁澧林', '田启文', '连诗雅', '黄文慧', '彭浩翔', '李汶桂', '廖殷曼', '何珀廉', '何国男', '梁国坚', '程宇']",2017,"['剧情', '喜剧', '爱情']","['中国香港', '中国大陆']"
25884801,记忆大师,['陈正道'],"['黄渤', '段奕宏', '徐静蕾', '杨子姗', '梁杰理', '许玮甯', '王真儿', '焦刚', '张隽溢', '杜函梦', '栾元晖', '曹英睿', '胡明', '靳锦', '赵慧仙', '邵胜杰', '王瑶', '帕尔集拉·莱尔达韦威德', '约恩·奥布赖恩', '吴玉芳', '杨凯迪', '许薇', '高叶', '郑楚一', '孟宇', '许芳铱', '郑小毛', '郑奇', '李燕生', '杜翊', '蒙西乍·布涅西迪索邦', '阿尼莎·沙阿', '常进', '何禄']",2017,"['悬疑', '惊悚']",['中国大陆']
26605946,毒。诫,['刘国昌'],"['刘青云', '林家栋', '古天乐', '张晋', '江一燕', '谭耀文', '吴孟达', '陈观泰', '卢海鹏', '楼南光', '欧锦棠', '林国斌', '尹扬明', '苗可秀', '庄锶敏', '张建声', '骏雄', '吴海昕', '黄溢濠', '陈健朗', '王志文', '陈景鸿', '伍礼骞', '林德禄 ', '张松枝', '朱鉴然', '赵永洪']",2017,"['剧情', '动作', '犯罪']","['中国大陆', '中国香港']"
26779288,美容针,['黄美娜'],"['闫妮', '杜天皓', '宋伊人', '赵毅新', '张亦驰', '宗晓军', '李小胖', '胡彩虹']",2017,"['喜剧', '爱情']",['中国大陆']
26956641,小情书,['乔梁'],"['赵顺然', '朱颜曼滋', '姜瑞佳', '高子沣', '杨青', '赵浩闳', '任帅', '刘丹', '姜宏波', '韩昊轩', '马祥睿', '邓震', '伍宇辰柠', '赵珍妮', '张晗圣']",2017,"['剧情', '爱情']",['中国大陆']
26385746,荡寇风云,['陈嘉上'],"['赵文卓', '洪金宝', '万茜', '小出惠介', '仓田保昭', '唐文龙', '刘俊孝', '吴樾', '木幡龙', '王斑', '洪天明', '蒋璐霞', '王菁', '王沐霖', '舒耀瑄', '孙蛟龙', '王娇', '王斌', '沈良杰', '中村浩二']",2017,"['动作', '传记', '历史', '战争', '古装']","['中国大陆', '中国香港']"
